AT,V,AP,RH,PE
22.51,59.21,1018.35,71.97,444.66
23.81,,1016.96,70.16,438.32
8.49,36.25,1029.7,84.41,480.35
17.98,56.85,1012.28,84.52,448.71
35.03,68.27,1006.55,43.82,426.22
10.39,40.96,11002233..11,84.73,479.0
20.71,58.18,1007.63,98.44,447.06
18.43,57.76,1016.13,87.34,452.65
25.64,70.72,1010.16,84.0,441.68
25.32,..77,1014.55,74.69,441.5
24.54,65.46,1014.27,40.77,446.26
22.72,62.4,1010.28,80.79,445.22
13.01,41.49,1019.82,92.86,466.5
25.82,69.68,1012.69,89.94,439.58
12.29,42.18,1016.53,83.13,468.75
26.38,71.58,1011.02,80.9,434.26
15.0,41.35,1006.6,86.95,467.71
26.17,48.6,1002.59,61.41,439.86
21.39,N/A,1013.39,89.05,452.7
18.78,54.2,1012.05,89.25,448.04
9.83,41.17,1019.34,,478.21
18.68,62.1,1019.78,83.67,453.25
24.3,69.94,1007.02,62.14,438.92
6.05,42.85,1013.09,91.88,485.02
25.21,65.34,1013.94,65.04,446.68
30.34,75.08,1005.32,52.97,437.26
14.65,35.4,1016.16,60.26,469.61
24.65,64.63,1020.52,53.45,446.04
13.96,40.83,1009.89,84.86,469.86
19.94,61.87,1009.7,66.6,445.97
9.32,36.3,1027.9,77.02,478.55
25.69,73.18,1012.64,86.35,432.82
18.4,43.96,1012.4,77.81,464.63
9.34,41.49,N/A,97.59,471.04
22.36,58.79,1016.69,73.6,445.76
25.7,69.45,1013.86,56.91,437.04
11.39,43.72,1010.91,98.83,467.8
16.6,41.93,1022.01,48.98,467.51
23.4,72.99,1009.48,88.82,438.51
7.82,38.91,1015.58,90.11,479.15
15.52,42.86,1015.09,83.48,467.12
10.56,QʠŮƥ,1010.19,87.12,463.14
18.82,61.27,1019.5,72.23,455.29
23.74,49.5,1013.2,49.51,463.4
22.59,59.43,1005.85,84.02,442.0
6.79,40.0,1019.01,81.83,480.83
hǧǧ>,74.99,1005.41,85.75,433.63
24.63,59.57,1010.45,85.36,440.67
14.87,38.28,1014.65,80.24,467.29
16.49,41.93,,44.98,467.48
25.32,61.25,1011.56,80.1,436.67
19.7,54.42,1011.83,89.č86,450.48
N/A,69.14,1007.16,80.38,436.37
,#̒˱®Ⱥ,1008.09,85.85,471.82
5.75,42.07,1004.24,78.23,485.23
12.24,44.9,1020.31,82.22,464.25
19.72,51.19,1008.51,N/A,446.01
10.01,40.78,1023.71,88.11,470.82
6.07,38.91,1019.25,83.39,483.56
21.64,44.05,1007.73,74.79,447.96
17.12,49.5,1014.79,87.03,463.39
31.24,72.39,999.47,68.17,430.7
4.93,35.19,,92.94,486.39
26.12,75.6,1017.41,72.31,439.68
14.64,45.0,1021.78,41.25,475.98
21.7,64.69,1007.93,78.37,448.76
30.03,70.02,1010.07,64.2,436.88
14.74,43.99,1023.13,86.31,461.82
21.93,60.84,1018.96,76.8,440.76
26.06,49.02,1007.59,74.08,437.9
28.18,67.17,1006.84,75.55,438.49
7.38,44.71,1020.27,70.55,486.91
8.48,38.5,1013.5,66.51,485.29
10.07,41.39,1019.89,70.53,480.54
23.88,67.9,1005.99,67.58,446.34
26.97,64.45,1009.43,Cȷ΄R,443.75
27.85,66.44,1008.48,77.15,429.0
7.28,39.81,1017.61,87.56,483.0
29.25,78.87,1012.05,84.28,430.49
20.82,52.84,1004.13,79.42,449.59
14.18,42.99,7799,73.21,468.35
13.96,39.54,1011.05,85.72,468.82
18.93,44.06,Ɍxª̊͜ǯ,68.23,454.75
28.62,63.77,1012.82,55.77,441.97
27.56,66.93,1016.81,55.59,444.1
24.58,71.94,1006.85,89.02,433.99
29.15,69.48,1008.68,55.78,430.54
25.64,47.01,1014.81,62.29,454.48
..66,39.28,1014.04,,470.41
8.91,43.52,1022.78,98.0,478.38
15.9,41.35,1006.28,..,464.03
18.95,65.48,1018.17,71.85,452.85
18.ą77,39.54,1009.39,63.35,458.58
12.06,52.72,1024.53,80.05,467.21
24.73,69.05,1003.25,66.44,437.93
20.13,40.33,1005.31,85.42,460.09
22.0,59.54,1004.55,95.25,439.37
20.86,67.25,1017.45,81.45,444.5
26.33,60.06,1005.86,41.57,450.16
12.58,6677,1012.86,94.01,472.65
N/A,44.68,1023.53,91.38,474.7
28.25,57.19,11007799,67.9,436.99
6.87,39.85,1012.66,83.34,486.26
28.46,69.75,1009.46,79.75,435.75
23.75,68.51,1013.21,N/A,441.61
26.05,65.27,1013.69,56.46,440.75
24.27,74.93,1012.73,73.81,443.06
24.24,71.58,1010.15,91.14,437.75
31.99,53.53,1004.98,53.53,432.43
23.14,60.27,1018.51,80.54,442.59
23.25,71.29,1008.05,71.36,442.21
9.79,39.69,1002.36,93.86,471.61
20.63,43.77,1010.71,62.34,448.25
9.54,41.17,1019.79,65.61,481.18
29.97,73.06,1009.41,78.26,430.37
15.93,52.75,1024.57,58.71,457.92
18.41,65.94,1010.23,84.71,452.66
16.17,46.97,1014.22,85.8,456.08
24.2,50.78,1008.74,59.32,443.09
9.06,39.66,1019.64,76.98,479.53
14.16,N/A,1018.92,76.Ă34,464.91
34.29,68.51,1009.58,32.25,427.62
20.92,,1020.49,72.98,449.09
4Ñ.78,42.85,1013.39,93.36,481.47
17.3,47.45,Êˣ´ʃʇ,87.13,448.79
27.77,63.87,1017.97,38.77,444.06
26.45,71.37,1008.0,77.06,438.36
15.28,44.58,1016.45,83.07,467.92
27.84,72.39,1001.18,83.46,432.19
20.06,56.53,1020.38,75.16,455.99
9.77,34.69,1027.72,74.98,477.51
19.28,65.46,1013.77,64.24,448.91
20.64,49.21,1014.86,58.47,454.2
19.87,49.69,1012.23,68.57,456.03
15.64,44.21,1020.17,83.28,462.42
25.83,70.47,1006.24,81.83,434.45
30.75,71.22,1006.47,48.06,437.96
20.06,47.03,1013.66,83.23,461.02
7.97,38.5,1013.84,72.36,487.19
19.76,62.1,1020.07,73.55,450.44
13.89,44.84,1023.66,92.97,466.74
30.2,73.67,1006.31,62.14,428.72
17.78,50.66,1015.09,91.9,456.11
18.48,N/A,115566,85.14,452.52
26.22,N/A,1013.7,44.04,440.17
25.68,68.27,1008.05,68.48,434.89
13.98,40.71,1022.72,71.83,474.46
12.14,45.0,1023.9,89.2,476.6
22.31,43.43,1010.64,56.44,449.67
29.22,73.18,1012.22,64.91,430.57
27.62,71.14,1011.6,52.8,434.72
28.68,70.72,1009.43,,435.45
33.34,69.88,1007.65,42.72,437.84
,68.3,1015.26,44.12,431.79
15.08,42.77,1018.43,73.19,461.68
23.78,69.71,1008.79,83.17,443.06
5.81,35.79,1012.14,92.28,484.41
31.91,67.83,1008.76,53.22,425.28
20.77,56.85,1012.4,83.63,442.85
14.75,40.66,Rɍ´ͮΜʉ,81.65,463.83
26.58,59.39,10š14.49,65.87,439.46
7.31,42.18,1014.75,86.75,477.38
25.44,65.06,1013.82,77,440.09
29.56,74.22,1007.45,57.46,432.84
14.09,45.87,1009.05,,465.6
30.21,75.33,1002.24,66.Ă71,431.46
15.74,43.71,1024.7,78.38,462.66
20.14,46.93,1014.66,64.22,453.99
21.9,57.76,1017.45,66.89,449.95
27.11,66.49,1013.71,39.28,435.79
19.89,69.48,1011.06,86.73,447.63
23.19,58.82,1009.96,81.05,446.44
8.83,41.14,1025.37,94.36,474.51
19.0,58.95,1018.05,83.38,451.96
14.54,43.14,1010.26,82.98,465.45
32.41,58.9,1003.26,45.33,439.11
8.25,43.14,1011.3,N/A,479.95
26.98,70.94,1007.99,68.16,434.73
5.42,41.38,1020.77,86.02,491.38
10.23,42.32,1017.53,8ċ9.93,473.59
32.2,69.68,ĜǣǿǥĹ,42.47,437.35
20.91,59.14,1017.25,74.7,442.67
80.9,40.46,1019.48,77.37,476.81
24.42,64.79,1016.12,69.32,449.1
,44.63,1020.72,89.51,467.41
9.19,41.01,1022.14,98.98,468.37
19.13,59.21,1018.32,89.66,450.81
26.59,66.49,1013.32,49.76,439.72
28.09,65.27,1013.27,51.96,440.0
19.69,56.65,1020.86,73.41,455.32
27.38,69.4,1004.57,74.12,434.47
30.07,69.82,1010.39,57.53,437.38
12.69,40.71,1021.62,80.19,477.14
27.32,76.09,1007.77,74.64,443.13
13.82,40.2,1013.19,90.11,466.99
24.66,48.78,1018.39,71.79,449.11
13.31,40.1,1014.81,N/A,468.74
14.09,41.66,1009.25,71.4,469.93
30.44,48.86,1010.97,5533,438.31
6.64,..0044,1018.84,74.94,481.53
28.98,62.66,1009.1,52.62,438.45
25.99,N/A,1007.78,74.48,441.32
25.14,60.37,1006.63,77.17,438.39
26.62,65.12,1016.0,43.24,441.22
31.37,74.87,1009.22,56.58,436.16
22.64,63.73,1013.88,84.22,447.21
9.14,42.44,1014.48,92.03,481.46
9.87,42.74,1024.61,87.74,470.9
23.62,49.21,1014.1,49.54,443.53
11.96,43.41,1017.42,79.44,469.34
10.36,43.67,1012.16,77.04,478.27
24.17,59.44,1012.66,35.87,447.13
18.13,60.1,1009.67,84.75,455.82
8.0,\ʼĖƝÓ,1018.98,78.67,487.17
21.11,74.78,1009.71,84.35,442.68
21.87,69.45,,71.19,439.97
22.86,47.43,1009.75,61.54,452.53
29.56,73.88,1005.77,66.45,436.6
21.33,60.1,1010.97,78.36,451.95
11.23,39.72,1018.46,60.62,475.04
26.27,71.98,1005.72,86.15,427.65
3300,59.43,1010.23,,442.99
10.59,41.54,1019.94,72.52,478.74
20.6,..55,1013.32,91.07,443.76
23.82,60.32,1016.61,75.29,445.0
23.34,63.73,1012.1,79.11,443.68
25.22,71.85,1009.78,68.96,438.71
12.74,39.13,1008.19,94.81,468.57
27.53,Ȅ̃ϑτ,1009.4,53.73,429.05
28.55,69.84,1003.38,67.26,432.7
7.55,41.04,1027.03,83.32,476.58
14.56,N/A,1009.52,91.14,451.95
26.17,66.54,1002.23,75.6,433.81
11.98,44.58,54.6101,78.8,477.56
26.38,65.12,1016.1,47.57,441.07
9.39,N/A,1021.6,50.09,473.73
20.68,68.61,1122,84.81,446.33
32.17,73.21,1001.43,69.86,430.64
24.96,60.27,1018.68,69.97,442.67
15.24,45.87,1009.46,85.95,456.33
32.0,71.85,1008.44,53.59,427.95
17.75,49.25,1020.86,63.67,454.41
6.4,39.9,1007.75,86.55,486.03
25.88,61.47,1007.93,68.71,445.65
19.04,43.43,1009.25,68.74,453.32
16.38,46.97,1013.6,73.67,459.87
20.6,66.86,1013.08,62.48,451.44
12.31,41.06,1021.19,74.38,475.76
17.48,40.89,1011.39,62.45,462.59
14.02,44.47,1028.02,68.97,465.93
9.07,36.3,1015.26,56.81,479.98
28.14,61.47,1009.69,64.66,435.35
23.55,65.9Ć4,1011.76,58.44,443.98
29.75,73.5,1011.13,67.31,433.63
24.86,63.47,1011.5,71.78,441.68
31.26,76.09,1006.66,63.91,430.36
25.8,44.57,1008.0,52.56,450.48
34.96,68.94,1006.17,59.26,431.48
20.97,47.43,1007.64,71.18,448.22
13.92,41.16,N/A,83.89,454.15
5.72,39.33,Ƽ´̹̾ˎǏ,N/A,490.76
10.91,39.61,1018.44,64.38,469.42
27.44,58.9,1003.86,66.74,442.19
34.3,74.67,1015.98,25.89,427.84
FƏǟ̉,40.55,1002.27,73.42,462.13
26.35,49.5,1012.67,41.34,458.41
25.07,56.85,,51.99,442.44
12.42,40.24,1016.59,90.01,469.59
14.57,44.84,1023.46,87.2,464.58
27.44,74.9,1003.85,76.65,436.42
11.85,42.07,1017.92,93.45,467.25
19.7,43.79,1015.93,47.39,464.41
21.28,44.05,1005.69,83.2,444.56
26.43,58.41,1013.57,64.67,444.74
24.52,56.85,1012.59,54.47,438.89
28.68,73.77,1004.72,87.01,431.66
16.53,53.29,1018.64,87.47,463.32
Ĥƕƶ,71.29,1008.57,41.79,430.8
14.84,38.91,1013.78,69.27,467.83
8.3,36.3,1015.97,60.62,480.58
24.38,57.17,1009.85,74.46,444.59
23.91,67.69,1š008.28,66.71,439.84
28.68,61.86,1011.78,62.67,440.57
13.16,54.3,1017.33,82.43,468.4
27.18,61.41,1012.17,46.11,449.7
26.64,58.69,1007.99,75.68,439.32
6611,63.21,1012.31,76.44,441.23
21.93,62.91,1013.45,74.62,449.17
23.63,60.37,1005.0,81.66,440.74
20.94,68.12,1012.43,78.2,446.41
88..33,43.13,1020.02,83.11,484.07
18.22,45.09,1013.62,75.56,454.74
29.56,51.43,1005.87,59.22,437.93
18.07,63.31,1016.65,72.81,456.5
16.3,38.73,1001.79,73.45,465.7
5.37,40.07,1012.75,63.58,494.21
12.39,44.58,101š6.38,84.95,475.37
26.92,63.73,1010.29,68.6,440.35
/ǵʠ£,59.39,1014.07,84.15,445.41
16.71,42.99,1007.72,75.35,465.09
13.87,42.99,1007.45,81.52,471.12
18.74,59.21,1018.3,91.55,449.77
15.64,38.28,1014.39,76.93,466.51
6.67,36.08,1022.31,83.51,486.52
10.03,43.13,1014.85,70.09,482.16
6.82,N/A,1022.12,87.63,489.64
19.69,56.65,1020.86,70.02,454.87
9.97,41.26,1020.6,91.14,475.43
25.42,75.6,1017.39,77.63,438.24
23.54,4411..,1002.05,38.05,448.56
13.12,39.18,1023.11,64.33,471.44
17.25,43.14,1018.34,76.17,462.8
17.12,58.95,1016.74,90.41,451.67
23.82,73.67,1007.26,88.16,438.42
14.08,41.93,1023.02,59.41,475.15
13.65,44.6,1017.99,87.04,466.06
14.57,37.86,1022.44,68.82,463.58
26.31,66.48,1005.93,63.9,432.89
20.73,41.1,1001.86,47.51,456.44
29.45,,1018.12,50.68,437.31
30.21,71.32,1006.19,67.57,434.91
14.91,46.9,1019.59,98.1,461.73
10.74,40.05,1015.45,87.33,477.93
25.43,70.17,1000.46,87.84,436.43
27.51,49.3,1003.74,61.27,437.09
32.88,72.29,D˘Ʒʹ÷˕,62.74,431.74
14.86,43.14,1019.21,99.14,461.14
19.82,63.9,1013.19,78.96,449.61
14.01,39.0,1016.73,79.23,466.7
17.76,42.42,1009.09,66.26,468.27
9.75,52.72,1026.03,78.53,473.41
11.02,41.17,1018.18,86.86,477.62
29.71,73.18,1012.35,63.06,427.04
11.15,41.26,1022.67,81.83,473.57
26.39,49.16,1005.68,56.18,442.87
16.7,36.99,1006.19,89.33,464.7
22.42,N/A,1005.5,90.62,435.06
14.78,38.58,1017.02,82.4,460.54
15.07,50.88,1014.33,100.12,464.37
11.99,49.83,1008.33,95.2,468.22
24.78,50.16,1004.56,70.22,448.51
25.65,68.08,1011.27,75.26,435.91
25.15,73.67,1007.42,85.48,435.9
18.5,41.85,1015.81,64.78,466.8
12.38,45.51,1016.15,81.37,470.46
7.93,41.01,1023.64,97.23,476.37
33.95,68.14,1002.33,48.98,427.25
24.79,N/A,1017.07,68.23,440.05
23.17,51.19,Ŏīΰȣ,76.15,441.77
16.38,55.5,1019.8,82.44,464.58
9.31,41.39,1018.3,8866..99,480.25
16.34,36.99,1006.99,0066,466.24
12.3,40.69,101Š5.74,82.58,474.46
23.92,71.98,1006.22,92.96,433.23
15.4ù1,44.78,1007.69,65.17,456.83
20.26,51.19,1008.9,93.47,448.1
10.48,37.5,1009.81,95.26,474.57
30.12,69.71,1009.1,52.02,435.85
23.93,64.05,1013.09,86.02,440.66
15.29,41.35,1006.32,82.56,466.27
26.31,63.77,1014.15,69.36,440.1
22.46,58.33,1013.21,68.68,445.9
27.19,62.91,1011.57,53.66,444.8
25.44,69.59,1008.22,80.73,433.97
30.34,68.08,1010.85,49.4,428.34
27.92,68.3,1015.02,51.04,437.28
26.18,68.08,1012.92,55.7,436.51
11.64,41.39,1017.36,83.4,479.53
11.95,40.69,1015.62,85.34,475.4
27.58,66Ć.48,1004.82,51.23,435.34
5.68,40.77,1022.49,,487.58
11.43,41.16,1022.81,92.04,466.86
N/A,59.14,1017.34,84.75,442.45
28.45,N/A,1006.18,43.16,439.86
24.87,60.37,1005.48,76.21,436.41
11.44,34.03,1018.57,74.06,476.06
13.91,40.24,1017.03,85.93,466.24
25.47,70.36,1005.79,77.73,437.02
10.51,39.04,1023.95,85.35,479.15
9944,41.58,1020.76,68.22,463.07
8.46,39.42,1025.05,69.36,474.42
11.74,43.56,1015.14,70.72,477.5
17.55,48.78,1016.81,91.27,455.11
22.65,60.93,1006.43,85.13,440.52
26.48,51.43,1006.76,74.3,438.1
10.57,41.26,1008.32,97.96,472.9
10.82,44.63,1020.64,90.26,473.23
22.02,64.45,1012.57,47.87,454.9
10.77,41.44,1016.72,75.27,479.19
24.79,50.78,1008.78,61.88,445.3
24.21,71.77,1004.52,84.96,433.42
24.49,65.06,1014.07,63.32,441.4
27.04,65.06,1013.33,52.37,439.84
24.35,,1012.2,85.88,435.66
5.51,35.57,1026.3,78.97,489.36
23.4,65.06,1014.32,67.38,442.7
28.23,62.26,1010.88,60.86,435.76
13.0,39.85,1012.57,61.56,477.71
30.31,74.16,1010.69,58.81,436.23
10.23,42.07,1017.93,91.1,475.14
25.65,49.3,Ȏ˘ʝơ,68.48,440.05
8.52,41.55,,86.81,483.63
8.07,41.17,1019.4,86.43,484.54
28.5,72.99,1007.02,67.13,433.24
25.61,52.36,1014.1,62.9,451.42
5.28,77,1003.82,80.84,485.24
16Ă.58,41.93,1022.36,45.24,466.61
28.41,74.16,1010.29,72.09,439.2
12.89,48.14,1017.48,83.95,463.77
30.82,76.2,1007.47,59.3,432.22
12.69,40.75,1016.05,82.92,472.68
27.57,,1002.59,76.68,436.61
25.95,59.14,1016.42,67.03,438.46
7.61,41.26,1009.05,97.32,480.68
21.48,61.27,1019.29,61.43,450.88
10.84,39.18,1023.64,87.1,474.49
23.63,73.5,1011.46,89.39,438.21
24.83,62.4,1010.13,70.18,442.2
28.31,70.32,1007.88,47.0,432.5
32.5,73.68,1014.65,55.72,427.63
14.86,44.71,1018.3,49.46,466.38
22.64,70.98,1005.71,95.65,441.99
5.24,38.68,1018.03,78.65,486.67
27.4,77.24,1007.65,78.13,435.74
21.06,67.07,1004.9,84.09,446.44
15.21,35.4,1016.31,58.26,468.18
8.81,43.14,1012.46,73.99,481.56
30.04,64.44,1014.46,52.19,437.95
11.67,36.18,N/A,61.44,472.76
8.14,39.96,1023.41,88.86,477.05
28.55,74.33,1011.77,73.34,426.48
13.55,42.99,1007.58,97.55,470.82
24.05,61.87,1009.64,54.54,442.16
12.46,40.73,1017.53,93.47,464.7
13.8,40.2,1013.12,90.59,466.29
15.68,43.7,1015.09,58.96,470.29
24.31,65.34,1013.82,63.85,449.88
29.84,74.87,1009.64,61.39,435.05
17.3,46.21,1013.56,87.57,456.77
12.91,40.73,1017.66,93.66,464.61
17.1,49.69,1005.53,81.82,457.32
28.28,56.9,1006.38,64.99,445.61
33.82,73.03,1013.49,42.17,439.3
30.31,70.36,1006.55,59.92,439.11
..55,66.48,1003.71,76.0,435.62
,63.91,1009.53,79.11,446.02
27.72,69.88,1007.58,72.25,434.02
2.58,39.42,1028.68,69.03,488.69
18.11,52.08,1002.51,100.09,449.99
23.16,57.76,1017.74,63.79,451.79
16.52,53.16,1014.68,76.82,457.81
31.87,67.32,1013.65,36.69,435.47
26.19,69.34,1009.48,87.59,433.99
7.41,39.16,1015.23,90.66,486.91
23.54,70.32,1010.89,80.76,434.45
24.75,58.79,1009.87,71.97,444.79
22.78,49.16,1002.29,64.28,444.99
21.73,61.45,1010.27,N/A,442.78
13.18,40.03,1017.75,82.29,470.88
24.47,70.94,1008.07,81.55,436.29
14.98,39.58,"͆Šʙ
ďç",75.07,467.77
25.33,vɅ̶#̓,1009.78,77.78,435.23
21.22,43.43,1010.96,61.07,448.06
N/A,42.18,1015.05,78.25,463.3
,53.16,1013.09,82.79,456.86
28.24,65.74,1013.4,64.87,438.47
12.33,45.51,1016.49,79.2,471.16
23.14,63.94,1017.49,53.19,446.57
23.37,65.46,1016.25,48.64,447.07
28.9,71.25,1000.73,77.24,431.52
6.75,39.9,1008.3,87.42,484.05
30.8,70.94,1007.06,63.09,432.44
28.88,54.89,1007.16,46.6,440.99
32.31,77.95,1010.15,62.17,430.15
30.25,71.8,1010.87,60.4,437.28
20.3,59.8,1015.24,78.75,453.29
16.58,38.01,N/A,60.14,464.03
25.16,68.08,1010.89,70.16,435.78
15.06,41.85,1016.78,88.23,466.72
27.35,77.95,1012.14,74.14,431.72
16.33,42.44,1013.98,84.9,462.44
23.45,51.95,1005.23,76.17,449.07
0ģ,41.01,1021.76,97.71,469.11
12.17,40.6,1013.59,88.62,473.76
12.12,38.28,1013.7,72.19,469.59
20.98,60.1,1011.07,79.44,450.95
20.74,49.69,1010.91,69.1,454.59
21.84,59.39,1015.77,88.12,442.11
10.34,41.46,1017.75,89.73,478.03
21.08,52.05,1012.28,þ45.25,453.4
30.74,73.67,1005.79,57.89,428.92
14.6,42.32,1015.71,77.03,464.67
6.65,38.5,1014.01,87.6,491.54
11.82,41.17,1019.5,55.74,475.61
10.74,52.75,1021.75,75.41,467.48
30.63,74.22,1007.47,4ÿ6.52,430.38
22.11,59.8,1016.86,70.14,450.62
26.52,73.21,1002.3,95.38,437.02
24.37,63.47,1012.77,75.22,445.6
11.1,40.0,1021.29,86.58,477.2
24.48,66.25,1009.42,88.17,441.07
10.46,41.06,1021.41,82.34,481.47
,39.04,1019.0,68.69,485.57
8.95,43.13,11007755,94.85,479.14
11.89,40.03,1019.53,89.48,471.85
13.34,40.8,1026.56,64.85,474.47
26.65,58.41,1013.53,65.83,442.66
9.97,41.62,1013.99,96.02,464.86
8.3,36.08,1020.63,80.42,481.6
16.0,42.86,1013.88,81.74,467.5
18.6,60.1,1009.91,87.13,453.94
22.67,68.08,1013.0,66.59,443.79
24.14,60.07,1016.56,58.08,440.17
20.34,Ǩξ̡ö,1013.16,79.08,453.62
26.12,75.6,1017.41,72.31,439.68
22.08,69.94,1008.41,72.86,441.57
10.29,40.0,1021.46,90.6,479.58
23.45,70.04,1010.99,79.2,436.46
16.22,46.36,1020.04,91.73,460.73
28.08,73.42,71.2101,62.74,434.0
12.88,42.74,1026.25,74.54,470.89
14.56,45.51,1015.39,69.84,469.79
6.8,37.8,1021.09,70.02,485.96
22.22,66.05,1016.15,80.58,442.95
8.53,40.02,1031.27,85.57,476.73
27.16,47.43,1009.17,45.79,442.85
16.4,44.9,1009.22,82.31,456.11
13.4,40.89,1010.67,91.66,472.36
10.62,39.96,1025.37,96.64,470.8
21.61,49.39,1019.41,78.2,449.26
22.19,48.78,1017.84,76.01,446.51
15.31,41.35,1005.09,95.25,466.5
6.33,39.33,1012.06,93.16,492.22
10.79,39.82,1012.89,88.25,479.92
9.42,41.4,1029.21,86.4,474.75
19.45,41.1,1001.88,52.16,458.26
14.17,41.67,1013.4,72.77,471.42
33.13,74.34,999.57,48.34,433.73
0044,39.61,1020.23,73.39,477.41
34.61,73.03,1013.61,36.91,438.56
25.21,63.21,1012.24,85.14,441.04
7.98,39.61,1018.57,77.04,479.78
22.59,8ɇʴŶJ,1005.11,92.62,436.69
7.89,39.37,1016.28,84.66,483.82
20.65,57.5,1016.04,87.45,448.22
22.07,48.41,1008.71,81.29,444.01
16.5Ă8,45.87,1009.66,97.59,457.8
7.0,41.55,1001.43,97.12,483.92
18.26,59.15,1012.04,86.01,451.09
22.05,59.92,1009.06,93.74,437.9
21.11,58.12,10Š15.38,77.78,453.28
19.09,65.94,1012.53,81.06,446.34
25.98,60.95,1014.5,48.01,442.9
21.96,48.6,1004.87,76.27,446.56
22.98,58.46,1016.06,72.69,445.05
25.87,44.57,1007.43,55.92,445.79
12.36,40.56,1022.11,72.99,474.71
14.18,40.69,1014.73,74.88,471.52
11.41,41.54,1019.94,66.49,477.89
30.65,71.06,1008.61,76.76,432.08
31.71,69.04,1008.79,49.32,441.15
10.57,37.73,1024.36,70.29,474.65
10.09,41.01,1019.89,96.55,471.15
16.14,44.71,1014.83,39.41,468.88
24.27,60.23,1011.84,77.8,438.99
14.89,39.82,1013.23,82.49,470.19
31.59,43.5,1005.12,43.5,429.96
21.91,58.62,1015.95,72.87,450.23
6.43,39.61,1017.51,83.8,480.58
26.1,63.56,1013.12,61.0,442.75
30.98,,1009.96,58.92,439.39
12.23,41.58,1018.76,87.66,464.45
N/A,40.69,1015.09,91.31,476.67
18.94,47.83,1005.18,N/A,455.19
11.18,37.5,1013.32,74.32,472.02
20.19,;̞ȧÊɂ,1012.97,64.7,454.84
14.69,35.71,1015.78,57.34,467.39
18.94,46.93,1010.22,75.45,441.41
31.63,4̚ʲŮ,1008.66,61.81,436.89
12.04,,1013.08,82.45,472.13
24.26,68.14,1005.09,59.49,438.79
11.23,41.17,1019.36,56.85,475.85
24.37,68.14,1005.22,59.27,440.22
24.23,58.79,1009.8,75.75,444.01
8.24,39.61,1017.99,78.42,477.9
28.86,67.9,1006.29,57.19,432.97
15.78,41.48,1015.55,52.17,454.25
10.15,41.17,1019.38,82.3,480.71
11.87,44.6,1018.81,84.68,468.47
22.84,67.32,1013.77,64.67,438.36
26.31,48.6,1002.64,60.04,440.06
26.62,76.2,1006.06,69.13,437.81
27.92,63.07,1010.75,45.26,442.87
28.07,66.17,1010.58,64.11,443.77
13.7,34.03,N/A,69.07,470.2
8.27,40.69,1020.13,86.1,484.97
12.88,44.34,1016.03,88.51,474.94
8.77,40.77,1011.54,89.58,480.56
10.07,40.92,1021.84,84.18,471.71
29.92,69.75,1009.12,67.15,441.5
27.37,71.06,1008.4,87.52,432.14
25.21,59.21,1013.19,62.85,438.7
24.66,69.94,1006.56,60.91,432.68
10.93,39.16,1016.54,90.56,479.83
14.84,41.48,1017.26,63.42,460.3
10.63,39.61,1020.0,72.42,476.99
10.66,37.5,1009.42,95.86,472.86
20.76,69.05,1001.89,77.86,442.82
26.75,43.21,1012.29,87.28,430.45
27.46,66.54,1002.39,67.09,431.81
29.55,72.29,1007.94,84.45,430.98
29.17,72.99,1006.86,64.92,430.59
18.48,46.48,1007.53,82.57,461.49
22.11,59.8,1016.74,73.9,453.45
16.52,42.24,1017.51,67.65,469.13
29.59,70.17,999.71,71.0,434.85
18.06,41.34,1013.95,62.21,461.27
25.5,68.08,1011.13,72.86,436.07
29.98,67.22,1014.22,52.69,445.3
30.18,65.74,1012.63,47.74,441.65
19.95,58.46,1017.45,89.46,447.1
19.61,56.65,,63.74,457.41
15.17,36.71,1013.5,77.44,471.93
17.99,50.16,1009.98,100.09,451.38
>ä˿Ȭź,44.6,1018.59,86.71,470.02
11.62,43.48,1016.66,`IȠĆΑ,468.37
26.1,62.91,1012.44,60.91,446.05
17.36,43.96,1013.02,79.59,466.36
13.46,41.4,1019.46,71.73,467.4
16.57,43.7,1015.67,71.95,465.78
Æ15.2,40.55,1005.0,88.4,465.09
22.12,63.91,ůȰŴSG,90.83,447.77
9.95,41.82,1033.09,69.44,477.52
15.9,39.99,1007.03,78.49,465.5
24.1,71.29,1007.96,67.56,442.8
14.35,46.18,1016.63,87Ċ.76,461.74
28.41,75.6,1018.48,5Ā6.07,440.28
ˇiŴǟ˱×,83.54,452.01,,
27.44,59.74,1010.99,56.42,452.0
24.11,59.27,1011.02,78.18,444.35
28.18,60.07,1016.34,49.13,441.61
20.11,42.04,1010.79,60.31,464.13
12.74,41.38,1021.92,56.67,475.63
·ăˉ̩,63.9,1013.16,53.19,451.44
26.12,68.51,ř1013.06,68.96,433.11
28.26,72.43,1006.68,72.3,426.2
30.68,71.8,1010.81,61.4,435.4
10.01,41.17,1018.78,86.84,479.4
24.58,48.98,1014.96,38.75,459.79
13.61,42.34,1017.57,91.35,465.65
27.52,67.9,1005.65,59.52,439.01
15.92,37.64,1014.93,83.73,464.14
;ǡQĖ,45.01,1016.14,75.74,456.85
21.89,45.38,1014.42,68.95,459.45
20.94,58.16,1016.88,65.43,455.16
5.65,40.72,1022.46,85.17,487.09
30.06,;ɏʕŗ#,1017.63,53.59,435.02
27.57,69.84,1004.91,68.37,426.6
